0,3,4
0,12,1
0,28,3
0,37,4
0,46,2
1,4,5
1,9,4
1,16,1
1,23,5
1,26,5
1,31,4
1,34,1
1,47,4
2,1,3
2,4,4
2,5,2
2,8,4
2,13,5
2,22,1
2,25,1
2,30,4
2,37,5
2,39,1
2,48,5
3,3,1
3,17,1
3,20,4
3,25,5
3,26,2
3,27,3
3,29,5
3,31,3
3,32,2
3,46,4
4,0,3
4,6,1
4,7,4
4,11,5
4,13,3
4,15,5
4,25,5
4,27,5
4,29,1
4,33,5
4,35,5
4,38,4
4,39,1
4,45,5
4,48,2
5,1,2
5,2,2
5,5,3
5,11,4
5,14,2
5,17,3
5,22,1
5,28,1
5,40,4
5,41,4
5,44,1
5,45,1
6,1,1
6,9,4
6,10,1
6,13,5
6,23,4
6,28,2
6,29,2
6,30,2
6,31,2
6,33,5
6,37,5
6,43,1
6,48,1
7,5,2
7,26,3
7,33,1
7,38,2
7,40,2
7,42,2
7,46,3
7,49,1
8,9,4
8,15,2
8,30,2
9,0,1
9,4,3
9,21,4
9,22,4
9,23,1
9,28,5
9,32,4
9,34,2
9,35,3
9,36,4
9,40,4
10,3,2
10,14,4
10,16,4
10,18,1
10,25,5
10,29,5
10,38,5
11,5,2
11,10,5
11,11,1
11,14,5
11,15,5
11,22,1
11,30,5
11,32,3
11,37,5
11,43,2
11,44,5
11,46,4
11,49,3
12,5,3
12,8,1
12,16,1
12,20,5
12,28,4
12,30,4
12,39,4
12,41,2
12,45,3
12,47,3
13,3,5
13,5,3
13,10,2
13,14,2
13,20,1
13,21,5
13,24,5
13,26,5
13,30,4
13,33,5
13,35,4
13,40,5
13,42,1
13,43,3
14,5,4
14,10,4
14,12,1
14,24,1
14,42,2
14,44,4
14,48,3
15,10,3
15,11,2
15,12,2
15,14,2
15,16,1
15,18,3
15,25,4
15,26,3
15,40,3
15,44,3
15,45,2
15,46,1
16,8,1
16,15,4
16,20,3
16,21,3
16,34,3
16,48,3
16,49,2
17,2,3
17,14,1
17,25,3
17,27,5
17,30,2
17,35,3
17,37,4
17,39,2
17,48,2
18,1,2
18,3,5
18,6,2
18,8,5
18,9,1
18,21,3
18,27,4
18,28,5
18,44,1
19,3,4
19,4,4
19,11,5
19,13,1
19,15,3
19,17,1
19,33,5
19,38,4
19,40,3
19,45,2
19,46,1
20,2,1
20,7,3
20,13,4
20,20,2
20,22,3
20,29,5
20,32,4
20,38,2
20,49,3
21,3,3
21,5,3
21,11,1
21,15,5
21,20,5
21,25,4
21,27,4
21,28,3
21,40,2
22,0,3
22,1,1
22,2,5
22,20,5
22,25,5
22,29,4
22,33,1
22,42,3
22,43,1
22,45,5
22,46,5
23,14,1
23,20,1
23,28,4
23,33,2
23,40,1
24,3,1
24,6,1
24,8,3
24,12,4
24,14,4
24,15,3
24,18,1
24,24,4
24,26,4
24,32,4
24,33,5
24,36,3
24,37,2
24,40,4
24,45,1
24,48,5
25,4,5
25,13,3
25,16,2
25,19,5
25,21,4
25,24,5
25,28,3
25,29,2
25,36,5
25,42,5
25,45,4
25,47,5
26,1,5
26,11,2
26,17,4
26,22,4
26,36,3
26,39,5
26,41,1
26,43,4
26,46,5
27,4,2
27,12,2
27,18,2
27,27,3
27,38,1
27,39,2
27,40,5
27,43,1
28,5,1
28,14,4
28,18,4
28,29,2
28,42,4
29,2,1
29,3,2
29,16,2
29,33,2
29,35,5
29,38,1
29,47,2
29,49,4
30,23,4
30,29,1
30,37,4
30,40,4
30,46,2
30,48,1
30,49,1
31,2,1
31,6,1
31,13,5
31,15,4
31,20,5
31,22,2
31,25,3
31,26,1
31,32,4
31,44,5
31,45,5
31,47,5
32,2,4
32,3,3
32,15,4
32,28,3
32,33,4
32,37,4
32,40,1
32,41,5
32,44,2
32,46,5
32,47,5
33,12,3
33,22,3
33,26,1
33,27,1
33,30,2
33,32,2
33,48,4
33,49,1
34,0,3
34,1,2
34,4,3
34,5,2
34,34,5
34,36,4
34,46,1
34,49,2
35,2,2
35,4,4
35,6,3
35,11,5
35,13,5
35,18,4
35,29,4
35,31,4
35,34,2
35,37,5
35,45,2
35,49,5
36,4,4
36,8,5
36,12,1
36,13,2
36,17,4
36,18,2
36,19,2
36,23,3
36,29,1
36,32,5
36,34,1
36,45,1
36,47,3
37,2,5
37,3,2
37,17,2
37,21,5
37,28,5
37,35,1
37,41,2
37,44,2
37,48,2
38,3,2
38,4,5
38,9,2
38,14,5
38,24,4
38,28,1
38,38,1
38,48,3
39,12,2
39,13,4
39,17,5
39,20,1
39,27,3
